question_text,option_a,option_b,option_c,option_d,correct_answer
What does PoP stand for?,A) Post Office Protocol,B) Pre Office Protocol,C) Protocol of Post,D) None,A) Post Office Protocol
What is the port number of PoP,A) 110,B) 35,C) 110,D) 25,A) 110
What is the number of layers in the OSI model?,A) 7 layers ,B) 4 layers,C) 2 layers,D) 9 layers,A) 7 layers 
The full form of OSI is ,A) Open System Interconnection,B) Optical System interconnection,C) Operating System Internet,D) Operating Systems Interface,A) Open System Interconnection
Identify the layer which provides service to the user,A) Application layer,B) Session layer,C) Presentation layer,D) Physical layer,A) Application layer
Components used for interconnecting dissimilar networks that use different communication protocols,A) Gateways,B) Switches,C) Routers,D) Bridges,A) Gateways
 A topology is a modified version of the basic star topology.,A) two-tiered,B) network,C) bus,D) ring,A) two-tiered
A topology that involves Tokens.,A) ring,B) Star,C) Bus,D) Daisy Chaining,A) ring
Identify the full form of HTTP?,A) HyperText Transfer Protocol,B) HyperText Transfer Package,C) Hyper Transfer Text Package,D) Hyper Transfer Text Practice,A) HyperText Transfer Protocol
WANs that need to interconnect a very large number of sites.,A) three-tiered,B)  two-tiered,C) bus,D) ring,A) three-tiered
