question_text,option_a,option_b,option_c,option_d,correct_answer
What is the primary goal of Business Intelligence (BI)?,A) To analyze data,B) To collect data,C) To visualize data,D) To store data,A) To analyze data
Which of the following is NOT a component of BI?,A)  Customer Relationship Management (CRM),B) Data Mining,C) Decision Support System (DSS),D) Customer Relationship Management (CRM),A) Customer Relationship Management (CRM)
Which data visualization technique is used to show hierarchical data structures?,A) Tree Map,B) Pie Chart,C) Scatter Plot ,D) Line Graph,A) Tree Map
What is OLAP in the context of Business Intelligence?,A) Online Analytical Processing,B) Online Analytical Programming,C) Online Analytical Presentation,D) Online Analytical Prediction,A) Online Analytical Processing
Which type of analysis is used to discover hidden patterns in large datasets?,A) Predictive Analysis,B) Descriptive Analysis,C) Diagnostic Analysis,D) Prescriptive Analysis,A) Predictive Analysis
What does ETL stand for in the context of data warehousing?,"A) Extract, Transform, Load","B) Extract, Transfer, Load","C) Extract, Translate, Load","D) Extract, Transaction, Load","A) Extract, Transform, Load"
Which data mining technique is used to segment customers based on their behavior?,A) Clustering,B) Classification,C) Association,D) Regression,A) Clustering
What is the purpose of a BI dashboard?,A) To display key performance indicators (KPIs),B) To process data,C) To store metadata,D) To perform predictive analysis,A) To display key performance indicators (KPIs)
Which of the following is NOT a characteristic of a data warehouse?,A) Volatile,B) Subject-oriented,C) Integrated,D) Time-variant,A) Volatile
What role does SQL play in Business Intelligence?,A) It is used for data retrieval and manipulation,B) It is used for data analysis,C) It is used for data integration,D) It is used for data visualization,A) It is used for data retrieval and manipulation
