question_text,option_a,option_b,option_c,option_d,correct_answer
"Social networks have an information-sharing capacity. As such, a great distribution channel for?",A) Marketing Messages,B) viral content,C) Exclusive Coupons,D) Customer Feedback,A) Marketing Messages
___________ social network is considered the most popular for business to business marketing?,A) LinkedIn,B) Orkut,C) Ryze,D) Marketing Messages,A) LinkedIn
Advantage a non–profit has when opening a private social network…..,A) the start-up cost of a private social network,B) spend more time using social networks.,C) it has an immediate user base of people interested in the cause.,D) supporters have a higher tolerance for messages.,A) the start-up cost of a private social network
Larger social networking sites,A) will force niche social networks.,B) social media trends.,C) to see declining growth rates.,D) better fit for nonprofit organizations.,A) will force niche social networks.
Facebook and Linked are popular social networks globally.,A) False,B) True,C) Maybe,D) Maybe not,A) False
when marketing with social networks is to identify the goals.,A) True,B) False,C) Maybe,D) Maybe not,A) True
Facebook Places is targeted to large brands.,A) False,B) True,C) Maybe,D) Maybe not,A) False
best practice to interact under a personal account on LinkedIn.,A) True,B) False,C) Maybe,D) Maybe not,A) True
white label social network’s primary difference is that it is privately run by a nonprofit organization.,A) True,B) False,C) Maybe ,D) Maybe not,A) True
 ___________is the term updates by Twitter users.,A) Tweets,B) Tweats,C) Twinks,D) Posts,A) Tweets
